timestamp,grid_frequency
2025-09-30T11:44:10.03398+00:00,49.9934387207031
2025-09-30T11:44:11.034432+00:00,49.9736289978027
2025-09-30T11:44:12.04907+00:00,50.0117874145508
2025-09-30T11:44:13.033722+00:00,50.0009384155273
2025-09-30T11:44:14.033902+00:00,49.9868774414062
2025-09-30T11:44:15.033441+00:00,49.9750556945801
2025-09-30T11:44:16.036497+00:00,49.9801864624023
2025-09-30T11:44:17.034273+00:00,49.9931716918945
2025-09-30T11:44:18.034384+00:00,49.9872817993164
2025-09-30T11:44:19.034016+00:00,49.9906730651855
2025-09-30T11:44:20.033758+00:00,49.9866561889648
2025-09-30T11:44:21.033615+00:00,49.9718017578125
2025-09-30T11:44:22.034497+00:00,49.9885749816895
2025-09-30T11:44:23.034369+00:00,49.9883499145508
2025-09-30T11:44:24.036272+00:00,49.9851379394531
2025-09-30T11:44:25.037199+00:00,49.988842010498
2025-09-30T11:44:26.03407+00:00,49.9688148498535
2025-09-30T11:44:27.035214+00:00,49.9818382263184
2025-09-30T11:44:28.038216+00:00,49.97412109375
2025-09-30T11:44:29.03475+00:00,49.9685020446777
2025-09-30T11:44:30.035651+00:00,49.975414276123
2025-09-30T11:44:31.034474+00:00,49.9574012756348
2025-09-30T11:44:32.037567+00:00,49.9564208984375
2025-09-30T11:44:33.035229+00:00,49.9705963134766
2025-09-30T11:44:34.054243+00:00,49.9722938537598
2025-09-30T11:44:35.041033+00:00,49.9637756347656
2025-09-30T11:44:36.055558+00:00,49.9800987243652
2025-09-30T11:44:37.037834+00:00,49.9570922851562
2025-09-30T11:44:38.038621+00:00,49.9588279724121
2025-09-30T11:44:39.035486+00:00,49.9418983459473
2025-09-30T11:44:40.03555+00:00,49.9336166381836
2025-09-30T11:44:41.036356+00:00,49.9550857543945
2025-09-30T11:44:42.037306+00:00,49.9685897827148
2025-09-30T11:44:43.037811+00:00,50.0039749145508
2025-09-30T11:44:44.038536+00:00,49.9758148193359
2025-09-30T11:44:45.038887+00:00,49.9831771850586
2025-09-30T11:44:46.039564+00:00,50.0010719299316
2025-09-30T11:44:47.039844+00:00,49.9701499938965
2025-09-30T11:44:48.040307+00:00,49.9838447570801
2025-09-30T11:44:49.040388+00:00,49.9912071228027
2025-09-30T11:44:50.037214+00:00,50.0149154663086
2025-09-30T11:44:51.036874+00:00,49.988037109375
2025-09-30T11:44:52.036763+00:00,50.014289855957
2025-09-30T11:44:53.039933+00:00,49.9995079040527
2025-09-30T11:44:54.039973+00:00,50.0115661621094
2025-09-30T11:44:55.039784+00:00,50.0088424682617
2025-09-30T11:44:56.039389+00:00,50.0078125
2025-09-30T11:44:57.03914+00:00,50.0115661621094
2025-09-30T11:44:58.039109+00:00,50.0234031677246
2025-09-30T11:44:59.04189+00:00,50.009822845459
2025-09-30T11:45:00.038168+00:00,50.0188903808594
2025-09-30T11:45:01.037849+00:00,50.0141563415527
2025-09-30T11:45:02.043922+00:00,50.0255470275879
2025-09-30T11:45:03.038548+00:00,50.0040168762207
2025-09-30T11:45:04.043271+00:00,49.9951362609863
2025-09-30T11:45:05.038145+00:00,49.9995994567871
2025-09-30T11:45:06.039347+00:00,50.0352935791016
2025-09-30T11:45:07.03892+00:00,49.9844703674316
2025-09-30T11:45:08.038707+00:00,50.0221977233887
2025-09-30T11:45:09.039586+00:00,50.0017852783203
2025-09-30T11:45:10.043484+00:00,49.9863891601562
2025-09-30T11:45:11.043367+00:00,49.9753684997559
2025-09-30T11:45:12.041849+00:00,49.9963836669922
2025-09-30T11:45:13.043317+00:00,49.9763488769531
2025-09-30T11:45:14.056716+00:00,49.9752349853516
2025-09-30T11:45:15.03985+00:00,50.0125045776367
2025-09-30T11:45:16.040902+00:00,49.9995994567871
2025-09-30T11:45:17.039693+00:00,49.9802742004395
2025-09-30T11:45:18.040512+00:00,49.9829063415527
2025-09-30T11:45:19.040501+00:00,49.9837989807129
2025-09-30T11:45:20.040264+00:00,49.9632873535156
2025-09-30T11:45:21.040078+00:00,49.9734077453613
2025-09-30T11:45:22.039919+00:00,49.9637298583984
2025-09-30T11:45:23.041864+00:00,49.9675674438477
2025-09-30T11:45:24.041923+00:00,49.9705085754395
2025-09-30T11:45:25.043484+00:00,49.9824180603027
2025-09-30T11:45:26.042486+00:00,49.9751472473145
2025-09-30T11:45:27.046727+00:00,49.9767532348633
2025-09-30T11:45:28.044182+00:00,49.9705085754395
